19	6	151	0	-1
2233	2	57	0	-1
182	23	112	0	-1
22	17	21	0	-1
3	8	742	0	-1
507	2	55	0	-1
154	25	56	0	-1
100	83	18	0	-1
1110	2	31	0	-1
141	29	7	0	-1
6	5	22	0	-1
1574	0	1372	0	-1
456	21	770	0	-1
30	6	696	0	-1
13	81	4	0	-1
25	8	89	0	-1
42	0	400	0	-1
246	6	155	0	-1
182	3	43	0	-1
833	2	2958	0	-1
362	14	211	0	-1
166	6	696	0	-1
1447	37	17	0	-1
393	0	0	0	-1
82	6	3827	0	-1
141	20	11	0	-1
2001	6	180	0	-1
99	2	804	0	-1
6229	3	1	0	-1
141	4	11	0	-1
4639	25	4269	0	-1
21	3	63	0	-1
4639	25	5628	0	-1
11	9	2236	0	-1
27	7	3386	0	-1
27	7	3193	0	-1
354	8	1191	0	-1
969	0	1516	0	-1
4	81	13	0	-1
153	2	180	0	-1
141	75	7	0	-1
641	8	290	0	-1
345	21	55	0	-1
19	6	17	0	-1
15	106	913	0	-1
0	26	5	0	-1
200	96	8	0	-1
17	2	705	0	-1
22	4	6	0	-1
312	20	11	0	-1
6	3	22	0	-1
1021	0	6366	0	-1
100	37	31	0	-1
220	39	313	0	-1
202	3	1	0	-1
72	3	130	0	-1
2088	8	389	0	-1
1355	6	121	0	-1
44	41	3	0	-1
11	5	141	0	-1
2043	0	93	0	-1
7	16	0	0	-1
1720	15	3	0	-1
93	21	511	0	-1
127	24	64	0	-1
14	81	58	0	-1
389	38	2088	0	-1
127	31	64	0	-1
0	16	7	0	-1
913	28	6658	0	-1
316	0	1	0	-1
122	7	46	0	-1
6620	6	180	0	-1
154	25	3	0	-1
270	2	16	0	-1
55	26	0	0	-1
484	3	1	0	-1
1	6	7108	0	-1
19	32	17	0	-1
44	6	3	0	-1
362	6	211	0	-1
58	1	53	0	-1
51	1	247	0	-1
92	10	93	0	-1
11	7	1151	0	-1
46	6	2384	0	-1
354	8	4015	0	-1
913	114	15	0	-1
19	18	17	0	-1
21	17	22	0	-1
290	50	389	0	-1
